sep=,
"ID","Title","Automation Type","Endpoint","Postcondition","Preconditions","Priority","References","Status","Steps","Steps (Expected Result)","Steps (Step)","Suite","Summary","Test Type","Type"
"C19146851","Verify that Job can be opened"," Selenide","","Job data like name is shown on gui","- Source System CIF_AUTOMATED_TEST exists
- Job exists
- Command is running and login was successfull","Medium",""," Final","1. 1. Open Administration module
2. Open Tools -> Jobs
3. Search for CIF_AUTOMATED_TEST_JOB in Combobox ""Name""
4. Click Search
5. Select Job from the grid 
5. Double click to open the job
6. Check that Job is loaded correctly
Expected Result:
![](index.php?/attachments/get/12041)","1. ![](index.php?/attachments/get/12041)","1. 1. Open Administration module
2. Open Tools -> Jobs
3. Search for CIF_AUTOMATED_TEST_JOB in Combobox ""Name""
4. Click Search
5. Select Job from the grid 
5. Double click to open the job
6. Check that Job is loaded correctly","CIF (Command Integration Framework) (Automated testing)",""," Smoke test","Automated"
"C19146855","Verify that job can be duplicated"," Selenide","","Job is shown in grid, too","- Source System CIF_AUTOMATED_TEST exists
- Job exists
- Command is running and login was successfull","Medium",""," Reviewed","1. 1. Open Administration module
2. Open Tools -> Jobs
3. Select Job CIF_AUTOMATED_TEST_JOB in combobox ""Name""
3. Click Search
4. Select Job from the grid 
5. Open Context menu
6. Click: Duplicate
7. Check that Job's data is copied correctly and set new name: CIF_AUTOMATED_TEST_DUBLICATE
8. Save and Close Job and search for it in the grid
Expected Result:
![](index.php?/attachments/get/12379)","1. ![](index.php?/attachments/get/12379)","1. 1. Open Administration module
2. Open Tools -> Jobs
3. Select Job CIF_AUTOMATED_TEST_JOB in combobox ""Name""
3. Click Search
4. Select Job from the grid 
5. Open Context menu
6. Click: Duplicate
7. Check that Job's data is copied correctly and set new name: CIF_AUTOMATED_TEST_DUBLICATE
8. Save and Close Job and search for it in the grid","CIF (Command Integration Framework) (Automated testing)",""," End-to-end test","Automated"
"C19146860","Verify that job can be exported to excel file"," Selenide","","Excel file was dowanloaded","- Source System CIF_AUTOMATED_TEST exists
- Job exists
- Command is running and login was successfull","Medium",""," Reviewed","1. 1. Open Administration module
2. Open Tools -> Jobs
3. Look for CIF_AUTOMATED_TEST_JOB in combobox Name
4. Click Search
5. Select Job from the grid 
6. Open Context menu
7. Click Export
6. JobExport.xlsx will be downloaded
Expected Result:
![](index.php?/attachments/get/12380)","1. ![](index.php?/attachments/get/12380)","1. 1. Open Administration module
2. Open Tools -> Jobs
3. Look for CIF_AUTOMATED_TEST_JOB in combobox Name
4. Click Search
5. Select Job from the grid 
6. Open Context menu
7. Click Export
6. JobExport.xlsx will be downloaded","CIF (Command Integration Framework) (Automated testing)",""," End-to-end test","Automated"
"C19146864","Verify that job time control can be set"," Selenide","","Time control is set and chekbox on ON","- Source System CIF_AUTOMATED_TEST exists
- Job exists
- Command is running and login was successfull","Medium",""," Reviewed","1. 1. Open Administration module
2. Open Tools -> Jobs
3. Set CIF_AUTOMATED_TEST_JOB in combobox Name
4. Click Search
5. Select Job from the grid 
6. Open the job with double click
6. Select Time Control section
7. Set check box ON
7. Specify required parameters
8. Click Save
9. Check that Time changes applied correctly
Expected Result:
![](index.php?/attachments/get/12096)","1. ![](index.php?/attachments/get/12096)","1. 1. Open Administration module
2. Open Tools -> Jobs
3. Set CIF_AUTOMATED_TEST_JOB in combobox Name
4. Click Search
5. Select Job from the grid 
6. Open the job with double click
6. Select Time Control section
7. Set check box ON
7. Specify required parameters
8. Click Save
9. Check that Time changes applied correctly","CIF (Command Integration Framework) (Automated testing)",""," End-to-end test","Automated"
"C19146859","Tools: Jobs:  Release Job","","","","","Medium",""," Ready for review","1. 1. Open Administration module
2. Open Tools -> Jobs
3. Click Search
4. Select some Job in the grid  (or create a new one)
5. Execute in Context menu:  Start/Simulate
6. Execute in Context menu:  Release Job
7. Click Search button again to see how changed the Status of Job:
In column Runtime:
- black square: Failed or never Run

In column 'Functional log level':
- blue: no errors in functional log
In column Status: CANCELED

7. Open Job and then Monitoring Section, check here job Status
->Status= CANCELED,
Description: Job was not successfully completed, potential cause server restart or disconnection

Expected Result:
->Status= CANCELED,
Description: Job was not successfully completed, potential cause server restart or disconnection

![](index.php?/attachments/get/12071)","1. ->Status= CANCELED,
Description: Job was not successfully completed, potential cause server restart or disconnection

![](index.php?/attachments/get/12071)","1. 1. Open Administration module
2. Open Tools -> Jobs
3. Click Search
4. Select some Job in the grid  (or create a new one)
5. Execute in Context menu:  Start/Simulate
6. Execute in Context menu:  Release Job
7. Click Search button again to see how changed the Status of Job:
In column Runtime:
- black square: Failed or never Run

In column 'Functional log level':
- blue: no errors in functional log
In column Status: CANCELED

7. Open Job and then Monitoring Section, check here job Status
->Status= CANCELED,
Description: Job was not successfully completed, potential cause server restart or disconnection","CIF (Command Integration Framework) (Automated testing)","","","Manual"
"C19423966","Verify that time control settings can be modified"," Selenide","","changed values are saved in time control","- Source System CIF_AUTOMATED_TEST exists
- Job exists
- Command is running and login was successfull

3. Set CIF_AUTOMATED_TEST_JOB in combobox name","Medium",""," Reviewed","1. 1. Open Administration module
2. Open Tools -> Jobs
3. Set CIF_AUTOMATED_TEST_JOB in combobox name
4. Click Search
5. Select Job from the grid 
6. Open job with double click
7. Select Time Control section on the left
8. Set another time value
9. Click Save
10. Check that Time changes are applied correctly
Expected Result:
![](index.php?/attachments/get/12096)","1. ![](index.php?/attachments/get/12096)","1. 1. Open Administration module
2. Open Tools -> Jobs
3. Set CIF_AUTOMATED_TEST_JOB in combobox name
4. Click Search
5. Select Job from the grid 
6. Open job with double click
7. Select Time Control section on the left
8. Set another time value
9. Click Save
10. Check that Time changes are applied correctly","CIF (Command Integration Framework) (Automated testing)",""," End-to-end test","Automated"
"C19721581","Verify that time cotrol settings can be deactivated"," Selenide","","","- Source System CIF_AUTOMATED_TEST exists
- Job exists
- Command is running and login was successfull","Medium",""," Reviewed","1. 1. Open Administration module
2. Open Tools -> Jobs
3. Set CIF_AUTOMATED_TEST_JOB in combobox name
4. Click Search
5. Select Job from the grid 
6. Open job with double click
7. Select Time Control section on the left
8. set checkbox on OFF
10. Check that checkbox is correctly ticked and the entries are still there
Expected Result:
![](index.php?/attachments/get/12383)","1. ![](index.php?/attachments/get/12383)","1. 1. Open Administration module
2. Open Tools -> Jobs
3. Set CIF_AUTOMATED_TEST_JOB in combobox name
4. Click Search
5. Select Job from the grid 
6. Open job with double click
7. Select Time Control section on the left
8. set checkbox on OFF
10. Check that checkbox is correctly ticked and the entries are still there","CIF (Command Integration Framework) (Automated testing)",""," End-to-end test","Automated"
"C19423967","Verify that time control can be deleted"," Selenide","","Time control is NONE and entry fields are ampty","- Source System CIF_AUTOMATED_TEST exists
- Job exists
- Command is running and login was successfull

3. Set CIF_AUTOMATED_TEST_JOB in combobox name
4. Click Search
5. Select Job from the grid 
6. Open job with double click","Medium",""," Reviewed","1. 1. Open Administration module
2. Open Tools -> Jobs
3. Set CIF_AUTOMATED_TEST_JOB in combobox name
4. Click Search
5. Select Job from the grid 
6. Open job with double click
7. Select Time Control section on the left
8. Set check box NONE 
8. Click Save
9. Check that entries of time control where deleted
Expected Result:
![](index.php?/attachments/get/12382)","1. ![](index.php?/attachments/get/12382)","1. 1. Open Administration module
2. Open Tools -> Jobs
3. Set CIF_AUTOMATED_TEST_JOB in combobox name
4. Click Search
5. Select Job from the grid 
6. Open job with double click
7. Select Time Control section on the left
8. Set check box NONE 
8. Click Save
9. Check that entries of time control where deleted","CIF (Command Integration Framework) (Automated testing)",""," End-to-end test","Automated"
"C19146866","Verify that technical log can be downloaded for job run"," Selenide","","","","Medium",""," Final","1. 1. Open Administration module
2. Open Tools -> Jobs
3. Click Search
4. Select some Job in the grid (or create a new one)
5. Execute Job via Context menu: Start/Simulate
6. Open Job
7. Open Monitoring section
8. Select some item in the grid
9. Execute in Context menu: Download technical log file
Expected Result:
![](index.php?/attachments/get/12088)","1. ![](index.php?/attachments/get/12088)","1. 1. Open Administration module
2. Open Tools -> Jobs
3. Click Search
4. Select some Job in the grid (or create a new one)
5. Execute Job via Context menu: Start/Simulate
6. Open Job
7. Open Monitoring section
8. Select some item in the grid
9. Execute in Context menu: Download technical log file","CIF (Command Integration Framework) (Automated testing)",""," Integration test","ToBeAutomated"
"C19146793","Delta Report: Delta: Search","","","","Delta auto-apply configuration:
- Delta= Hardware Delta
- Active = OFF
- Delta auto-apply condition:
AND Action = CREATE
OR Source system = e.g. TEST_SK1

Job's Additional Settings:
SOURCE_SYSTEM = SourceSystem_ID (e.g. TEST_SK1)
CALCULATE_DELTA=Y
LOAD_HARDWARE_DATA = Y
SYNCHRONIZE_DATA = N


1. Test data is imported in Nms tables
2. Necessary Job (e.g. Hardware, Cable, Telco, etc.) is executed

","Medium",""," Ready for review","1. 1. Open Administration module
2. Open Delta reports: Delta
3. Set necessary Search restrictions
4. Click Search
5. Check that correct data is loaded
Expected Result:
![](index.php?/attachments/get/12062)","1. ![](index.php?/attachments/get/12062)","1. 1. Open Administration module
2. Open Delta reports: Delta
3. Set necessary Search restrictions
4. Click Search
5. Check that correct data is loaded","CIF (Command Integration Framework) (Automated testing)","","","Manual"
